id,budget,genre,original_language,popularity,year,month,release_date,revenue,runtime,vote_average,vote_count,country
10471,11000000,Comedy,en,10.06545,2000,1,2000/1/12,59827328,98,6.5,145,US
10384,90000000,Horror,en,5.496624,2000,1,2000/1/14,14828081,91,4.9,109,CH
4234,40000000,Horror,en,9.738371,2000,2,2000/2/3,161834276,116,5.7,749,US
1907,40000000,Drama,en,14.430311,2000,2,2000/2/11,144056873,119,6.3,1271,GB
15655,30000000,Animation,en,7.023414,2000,2,2000/2/11,45554533,77,6.3,146,US
14181,26000000,Crime,en,8.518425,2000,2,2000/2/18,28780255,118,6.5,202,US
2787,23000000,Thriller,en,6.424399,2000,2,2000/2/18,53187659,108,6.7,1812,US
2069,41300000,Comedy,en,12.061521,2000,2,2000/2/18,106371651,98,6.3,540,CA
2155,42000000,Thriller,en,12.11759,2000,2,2000/2/25,32168970,124,5.3,175,US
2067,90000000,Science Fiction,en,9.021107,2000,3,2000/3/10,60874615,114,5.7,374,US
462,52000000,Drama,en,10.135446,2000,3,2000/3/17,256271286,131,7.1,730,US
9532,23000000,Horror,en,14.961416,2000,3,2000/3/16,53302314,98,6.4,1416,US
2085,25000000,Action,en,8.369176,2000,3,2000/3/20,91036760,115,6,334,US
243,30000000,Comedy,en,8.524956,2000,3,2000/3/17,47126295,113,7,636,GB
10501,95000000,Adventure,en,8.755188,2000,3,2000/3/31,76432727,89,7,892,US
11478,15000000,Crime,en,11.363754,2000,3,2000/3/31,35007180,106,5.7,160,CA
10559,31000000,Crime,en,10.163266,2000,4,2000/4/28,68106245,118,7,473,US
10479,60000000,Action,en,10.278274,2000,4,2000/4/7,71000000,128,6,178,US
1359,7000000,Thriller,en,13.686715,2000,4,2000/4/13,34266564,102,7.3,2128,CA
4967,30000000,Comedy,en,6.045585,2000,4,2000/4/14,37036004,127,5.9,161,US
3536,62000000,Action,en,7.879924,2000,4,2000/4/20,127666415,116,6.1,345,FR
889,83000000,Science Fiction,en,6.053595,2000,4,2000/4/28,59468275,90,4.4,140,US
10564,15000000,Comedy,en,5.833133,2000,4,2000/4/27,33771174,120,6.9,159,US
98,103000000,Action,en,23.186667,2000,5,2000/5/1,457640427,155,7.9,5566,GB
5491,44000000,Action,en,5.276926,2000,5,2000/5/10,21400000,118,3,259,US
10567,127500000,Animation,en,9.998415,2000,5,2000/5/19,354248063,82,6.2,563,US
9285,16000000,Comedy,en,8.00158,2000,5,2000/5/19,119754278,93,5.9,550,US
955,125000000,Adventure,en,18.97178,2000,5,2000/5/24,546388105,123,5.9,1966,DE
8584,55000000,Adventure,en,10.308442,2000,5,2000/5/26,56932305,110,6.2,756,HK
